ID,MP,ORGAO,RESOLUCAO,LINK
1,MPDFT,GAECO,"Portaria normativa nº 274, de 24 de setembro de 2013",
2,MPAC,GAECO,Resolução 030/2015,Resolução-nº-030-2015-Disciplina-atribuições-do-GAECO-versão-aprovada-Colégio.pdf (mpac.mp.br)
3,MPAL,GAECO,Resolução CPJ Nº 03/2006,https://www.mpal.mp.br/wp-content/uploads/2022/05/CPJ_03_2006.pdf
4,MPAL,GAECO,Resolução CPJ Nº 04/2018,https://www.mpal.mp.br/wp-content/uploads/2022/05/RESOLUO-CPJ-n.-04.2018.pdf
5,MPAM,GAECO,Resolução N.º 026/09-CPJ,https://www.mpam.mp.br/images/SEI/2009_-_Resolu%C3%A7%C3%A3o_026_-_CPJ_atualizada_2019_-_Disciplina_Atribui%C3%A7%C3%B5es_GAECO_32531.pdf
6,MPAP,GAECO,Resolução Nº 018/2016-CPJ,https://www.mpap.mp.br/intranet/uploads/banco_publicacoes/2018_01/2fb7c461e50add52965857e442ffa1896937587a.pdf
7,MPBA,GAECO,Resolução Nº 004/2006,https://biblioteca.sistemas.mpba.mp.br/biblioteca/
8,MPBA,GAECO,Ato Normativo 33/2022,https://biblioteca.sistemas.mpba.mp.br/biblioteca/
9,MPCE,GAECO,Resolução Nº 115/2023 – OECPJ,https://www.mpce.mp.br/wp-content/uploads/2023/05/Resolucao-no-115.2023.pdf
10,MPES,GAECO,Portaria Nº 6299 de 05 de Junho de 2018,https://mpes.legislacaocompilada.com.br/Arquivo/Documents/legislacao/image/PORTAR62992018.pdf
11,MPGO,GAECO,"Ato PGJ N. 9, de 26 de janeiro de 2024",https://www.mpgo.mp.br/portal/arquivos/2024/01/29/11_22_11_832_Ato_9de2024.pdf
12,MPMA,GAECO,Ato Rrgulamentar Nº 13/2017 - GPGJ,https://legislacao.mpma.mp.br/api/mostrar?id=201
13,MPMG,GAECO,"Resolução PGJ Nº 2, de 15 de fevereiro de 2017",https://mpnormas.mpmg.mp.br/files/1/1/1-1-C994-28-res_pgj_02_2017.pdf
14,MPMS,GAECO,"Resolução nº 019/2011-PGJ, de 22 de agosto de 2011",https://www.mpms.mp.br/cao/cao-ii/legislacao
15,MPMT,GAECO,"Lei Complementar Nº 119, de 20 de dezembro de 2002 - D.O. 20.12.02","https://mpmt.mp.br/conteudo/73/56206/lei-complementar-n-1192002---do-201202-criacao-do-gaeco#:~:text=20.12.02%20(cria%C3%A7%C3%A3o%20do%20GAECO)&text=LEI%20COMPLEMENTAR%20N%C2%BA%20119%2C%20DE,20.12.02.&text=Cria%20o%20Grupo%20de%20Atua%C3%A7%C3%A3o,Grosso%2C%20e%20d%C3%A1%20outras%20provid%C3%AAncias."
16,MPPA,GAECO,"Resolução Nº 003/2021–CPJ, de 5 de agosto de 2021",https://www2.mppa.mp.br/simpacervo/explorer.jsf
17,MPPB,GAECO,Resolução CPJ Nº 07/03,https://ged-api.mppb.mp.br/public/arquivos/1051083/file?content=inline
18,MPPE,GAECO,RESOLUÇÃO CSMP 002/2016,
19,MPPI,GAECO,Resolução nº 002/2007- CPMP-PI,MPPI - Ministério Público do Estado do Piauí
20,MPPI,GAECO,"Ato PGJ Nº 165/2010, de 05 de novembro de 2010",MPPI - Ministério Público do Estado do Piauí
21,MPPI,GAECO,Ato PGJ Nº 665/2017,ato pgj 665-2017.pdf (mppi.mp.br)
22,MPPR,GAECO,Decreto 10296 - 26 de Fevereiro de 2014,https://www.legislacao.pr.gov.br/legislacao/listarAtosAno.do?action=exibir&codAto=114336&indice=1&totalRegistros=261&anoSpan=2014&anoSelecionado=2014&mesSelecionado=2&isPaginado=true
23,MPPR,GAECO,Decreto 6731 - 27 de Janeiro de 2021,legislacao.pr.gov.br/legislacao/listarAtosAno.do?action=exibir&codAto=244228&codItemAto=1525284#1525284
24,MPRJ,GAECO,"Resolução GPGJ Nº 2.403, de 3 de março de 2021",https://www.mprj.mp.br/documents/20184/1930598/resolucao_2403.pdf
25,MPRN,GAECO,Resolução Nº 045/2016-PGJ/RN,https://www.diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20160416&id_doc=533398
26,MPRO,GAECO,Resolução Nº 8/2019-CPJ,https://bni.mpro.mp.br/sapl/generico/norma_juridica_pesquisar_proc?incluir=0&lst_tip_norma=13&txt_numero=008&txt_ano=2019&lst_assunto_norma=&dt_norma=&dt_norma2=&dt_public=&dt_public2=&txt_assunto=&rd_ordenacao=1&btn_norma_pesquisar=Pesquisar
27,MPRO,GAECO,Resolução Nº 6/2023-CPJ,Sistema de Apoio ao Processo Legislativo (mpro.mp.br)
28,MPRR,GAECO,"Resolução CPJ Nº 007, de 02 de stembro de 2011",https://www.mprr.mp.br/servicos/download/resolucao-cpj-no-007-de-02-de-setembro-de-2011-2021-06-28-19-55-33.pdf
29,MPRS,GAECO,Provimento nº 78/2015,https://www.mprs.mp.br/legislacao/provimentos/16706/
30,MPSC,GAECO,Ato Nº 277/2019/PGJ,https://www.mpsc.mp.br/atos-e-normas/detalhe?id=2571
31,MPSE,GAECO,Resolução N0 003/2018 CPJ de 15 de março de 2018,https://www.mpse.mp.br/index.php/informativo-resolucoes/
32,MPSE,GAECO,"Lei Complementar Nº 284, de 30 de março de 2017",https://aleselegis.al.se.leg.br/Arquivo/Documents/legislacao/html/C2842017.html
33,MPSP,GAECO,"Resolução Nº. 1047/2017- PGJ, de 06 de outurbro de 2017",Resolução (mpsp.mp.br)
34,MPTO,GAECO,"Lei Complementar Nº 72, de 1º de junho de 2011",https://www.al.to.leg.br/arquivos/lei_72-2011_37128.PDF
35,MPDFT,INTELIGÊNCIA,"Anexo da Portaria Normativa PGJ n. 804, de 11 de março de 2022",https://www.mpdft.mp.br/portal/pdf/legislacao_normas/regimentointerno.pdf
36,MPAC,INTELIGÊNCIA,Ato N.º 005/2021,ATO-PGJ-005-2021_-_Alteracao_ATO_25_-_NAT.pdf (mpac.mp.br)
37,MPAL,INTELIGÊNCIA,Resolução CPJ-MP/AL n. 12/2018,https://www.mpal.mp.br/wp-content/uploads/2022/05/RESOLUCAO-CPJ-12.2018.pdf
38,MPAM,INTELIGÊNCIA,ATO Nº 238/2018/PGJ,https://www.mpam.mp.br/images/SEI/2018_-_Ato_PGJ_238.2018.PGJ_-_Disciplina_Atribui%C3%A7%C3%B5es_CAOCRIMO_75595.pdf
39,MPAP,INTELIGÊNCIA,Ato Normativo 0001/2016,https://www.mpap.mp.br/intranet/uploads/banco_publicacoes/2018_01/3549f1225beb0401a343533a5567eca9d0e673ad.pdf
40,MPBA,INTELIGÊNCIA,"ATO Nº 181, DE 05 DE ABRIL DE 2021",https://biblioteca.sistemas.mpba.mp.br/biblioteca/index.asp?codigo_sophia=26746
41,MPCE,INTELIGÊNCIA,Ato Normativo Nº 263/2022,http://www.mpce.mp.br/wp-content/uploads/2022/05/Ato-Normativo-no-263-2022-Reestrutura-o-NUSIT-09.2022.00003798-0.pdf
42,MPES,INTELIGÊNCIA,"Portaria Nº 5142, de 02 de maio de 2018",https://mpes.legislacaocompilada.com.br/Arquivo/Documents/legislacao/html/PORTAR51422018.htm
43,MPGO,INTELIGÊNCIA,"Ato PGJ N. 38, de 17 de maio de 2021",https://www.mpgo.mp.br/portal/atos_normas/46
44,MPGO,INTELIGÊNCIA,"Ato PGJ N. 39, de 17 de maio de 2021",https://www.mpgo.mp.br/portal/atos_normas/45
45,MPGO,INTELIGÊNCIA,"Ato PGJ N. 119, de 17 de novembro de 2023",https://www.mpgo.mp.br/portal/atos_normas/1978
46,MPMA,INTELIGÊNCIA,Ato Nº 136/2018 - GPGJ,https://www.mpma.mp.br/arquivos/biblioteca/legislacao/atos/9034_ato_136.pdf
47,MPMG,INTELIGÊNCIA,Resolução n 23/2019,https://mpnormas.mpmg.mp.br/viewObject.php?rid=1-1-CB79
48,MPMS,INTELIGÊNCIA,"Resolução nº 005/2018-PGJ, de 6 de abril de 2018.",https://mpspbr.sharepoint.com/:w:/r/sites/GNCOC-20222024/_layouts/15/Doc.aspx?sourcedoc=%7B1D4FC4B2-7635-44A9-A04B-F23EE0BF4235%7D&file=MPE%20MS%20Resolu%C3%A7%C3%A3o%20n%C2%BA%20005%20-%202018%2C%20de%206%20de%20abril%20de%202018.docx&action=default&mobileredirect=true
49,MPMT,INTELIGÊNCIA,Ato Administrativo Nº 709/2018-PGJ,https://www.mpmt.mp.br/conteudo/104/75243/ato-administrativo-n-7092018-pgj---institui-o-caopcsi-
50,MPPA,INTELIGÊNCIA,"Resolução Nº 012/2017?CPJ, de 6 de novembro de 2017",https://www2.mppa.mp.br/data/files/83/A2/20/9E/BCBC6610E63C6C66180808FF/Institui%20o%20GSI%20-%20Resolucao%20012-2017%20CPJ-mppa.pdf
51,MPPB,INTELIGÊNCIA,Ato PGJ N 04/2015 de 03.02.2015,https://www.mppb.mp.br/index.php/pt/atos-normas-2(https://ged-api.mppb.mp.br/public/arquivos/901653/file?content=inline)
52,MPPE,INTELIGÊNCIA,"Lei Complementar Nº 128, de 15 de setembro de 2008",https://siteantigo2.mppe.mp.br/mppe/attachments/article/115/Lei_Complementar_Estadual_n._128.08.pdf
53,MPPI,INTELIGÊNCIA,Ato PGJ Nº 665/2017,https://www.mppi.mp.br/internet/wp-content/uploads//2017/04/ato%20pgj%20665-2017.pdf
54,MPPR,INTELIGÊNCIA,Resolução 4467/2013-PGJ,https://intranet.mppr.mp.br/sites/intranet-mppr/arquivos_restritos/files/migrados/File/RESOLUCAO_N_4467-2013-PGJ.pdf
55,MPRJ,INTELIGÊNCIA,"Resolução GPGJ nº 2.490, de 11 de outubro de 2022.",https://www.mprj.mp.br/documents/20184/1930598/resolucao_2490.pdf
56,MPRN,INTELIGÊNCIA,"Lei Complementar Nº 446, de 29 de novembro de 2010",https://www.al.rn.leg.br/storage/legislacao/2019/06/17/5a88f83bedfb1dc945fff0d3adbcf6be.pdf
57,MPRO,INTELIGÊNCIA,Resolução Nº 22/2018/PGJ,https://mprompbr-my.sharepoint.com/personal/52992_mpro_mp_br/_layouts/15/onedrive.aspx?ga=1&id=%2Fpersonal%2F52992%5Fmpro%5Fmp%5Fbr%2FDocuments%2FMPRO%2FAtos%20Normativos%20%2D%20CAEX%2F1%29%20Resolu%C3%A7%C3%A3o%20n%C2%BA%2022%2D2018%20%2D%20Institui%20o%20N%C3%BAcleo%20de%20Intelig%C3%AAncia%2Epdf&parent=%2Fpersonal%2F52992%5Fmpro%5Fmp%5Fbr%2FDocuments%2FMPRO%2FAtos%20Normativos%20%2D%20CAEX
58,MPRO,INTELIGÊNCIA,Resolução nº 14/2019 - PGJ,https://mprompbr-my.sharepoint.com/:f:/g/personal/52992_mpro_mp_br/Eozt_ZVjdkFMr1puxxFnra0B2nAKG57ZdVRqIFgjZw1K3Q?e=9DCMOF
59,MPRR,INTELIGÊNCIA,"Resolução PGJ Nº 005,  de 21 de agosto de 2015",https://www.mprr.mp.br/caop/PGJ_005_2015.pdf
60,MPRS,INTELIGÊNCIA,Provimento nº 97/2023-PGJ,https://www.mprs.mp.br/legislacao/provimentos/16972/
61,MPSC,INTELIGÊNCIA,Ato N. 60-2024-PGJ,"https://portal.mpsc.mp.br/atos-e-normas/detalhe?id=3536#:~:text=Disp%C3%B5e%20sobre%20a%20estrutura%C3%A7%C3%A3o%20e,da%20Lei%20Complementar%20Estadual%20n."
62,MPSE,INTELIGÊNCIA,Resolução N0 003/2018 CPJ de 15 de março de 2018,https://www.mpse.mp.br/index.php/informativo-resolucoes/
63,MPSE,INTELIGÊNCIA,Resolução Nº 033/2020 ? CPJ de 05 de novembro de 2020,https://www.mpse.mp.br/index.php/informativo-resolucoes/
64,MPSP,INTELIGÊNCIA,"Resolução nº 1.349/2021-PGJ, de 29 de julho de 2021",1349.pdf (mpsp.mp.br)
65,MPTO,INTELIGÊNCIA,Resolução nº 004/2015/CPJ,https://athenas.mpto.mp.br/athenas/FileUploadController/get_public_file/5df15a9bfccdccabc49fe84747aab7aa
